2024-05-10 12:52:19.385 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 111 ms. Found 5 JPA repository interfaces.
2024-05-10 12:52:20.526 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-10 12:52:20.660 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-10 12:52:20.715 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-10 12:52:21.087 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-10 12:52:21.136 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-10 12:52:21.615 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@66863941
2024-05-10 12:52:21.618 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-10 12:52:22.866 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-10 12:52:22.984 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-10 12:52:23.651 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-10 12:52:26.953 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-10 12:52:26.954 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-10 12:52:26.960 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 3 ms
2024-05-10 12:52:27.036 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - Started EscuelasProjectApplicationTests in 9.681 seconds (process running for 10.941)
2024-05-10 12:52:27.753 [main] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), URL: http://localhost/api/v1/escuelas/find/all, IP: 127.0.0.1, Parámetros: {}
2024-05-10 12:52:27.905 [main] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), Respuesta: <200 OK OK,[EscuelaResponseDto[id=1, nombre=ESS 4], EscuelaResponseDto[id=2, nombre=TEC 1]],[]>
2024-05-10 12:52:28.023 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-10 12:52:28.026 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-10 12:52:28.040 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-10 12:59:30.592 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-10 12:59:30.629 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - Starting EscuelasProjectApplicationTests using Java 17.0.9 with PID 3092 (started by Usuario in G:\Desktop\EscuelasProject\escuelas_project)
2024-05-10 12:59:30.630 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - No active profile set, falling back to 1 default profile: "default"
2024-05-10 12:59:31.750 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-10 12:59:31.854 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 94 ms. Found 5 JPA repository interfaces.
2024-05-10 12:59:32.894 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-10 12:59:32.995 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-10 12:59:33.047 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-10 12:59:33.452 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-10 12:59:33.510 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-10 12:59:33.935 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@66863941
2024-05-10 12:59:33.937 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-10 12:59:35.088 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-10 12:59:35.193 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-10 12:59:35.839 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-10 12:59:38.449 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2024-05-10 12:59:38.450 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2024-05-10 12:59:38.453 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
2024-05-10 12:59:38.517 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - Started EscuelasProjectApplicationTests in 8.407 seconds (process running for 9.621)
2024-05-10 12:59:39.204 [main] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), URL: http://localhost/api/v1/escuelas/find/all, IP: 127.0.0.1, Parámetros: {}
2024-05-10 12:59:39.371 [main] INFO  c.e.p.e.aop.HttpRequestAspect - Método: EscuelaController.findAll(), Respuesta: <200 OK OK,[EscuelaResponseDto[id=1, nombre=ESS 4], EscuelaResponseDto[id=2, nombre=TEC 1]],[]>
2024-05-10 12:59:39.495 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-10 12:59:39.497 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-05-10 12:59:39.511 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-05-10 13:03:28.892 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-10 13:03:28.936 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - Starting EscuelasProjectApplicationTests using Java 17.0.9 with PID 264 (started by Usuario in G:\Desktop\EscuelasProject\escuelas_project)
2024-05-10 13:03:28.937 [main] INFO  c.e.p.e.EscuelasProjectApplicationTests - No active profile set, falling back to 1 default profile: "default"
2024-05-10 13:03:30.136 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-10 13:03:30.229 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 5 JPA repository interfaces.
2024-05-10 13:03:31.100 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-10 13:03:31.232 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-10 13:03:31.294 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-10 13:03:31.691 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-10 13:03:31.728 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-10 13:03:32.093 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@d512c1
